vfid,RA,DEC,vr,radius,objname
VFID0330,170.22997,63.404526,3294.5,31.054264,UGC06354
VFID0331,209.44868,63.397053,1771,47.766262,UGC08894
VFID0332,190.53368,63.390327,2469.1,20.850729,PGC2654854
VFID0333,184.07196,63.388393,2781.2,12.767952,PGC213963
VFID0334,170.87852,63.367214,2914.2,20.096539,PGC034976
VFID0335,190.92778,63.361214,2685.5,10.306739,PGC2654321
VFID0336,181.6295,63.35251,2874.8,11.511217,2MASXJ12063113+6321086
VFID0337,190.14807,63.349842,2631.3,26.984928,UGC07837
VFID0338,157.47195,63.30832,1642.6,7.34719,PGC2653409
VFID0339,169.65149,63.280666,3212.3,25.300043,PGC034582
VFID0340,173.33606,63.280075,1257.3,69.682106,UGC06534
VFID0341,169.25888,63.26901,3168.8,15.105019,SDSSJ111702.13+631608.3
VFID0342,161.65347,63.22415,1012.3,122.21408,NGC3359
VFID0343,172.49731,63.22342,1059.1,17.66531,PGC3138312
VFID0344,108.12105,63.1928,1724.9,100,PGC2802326
VFID0345,181.33736,63.15661,2962.1,23.127104,UGC07079
VFID0346,156.78804,63.151447,1207,22.341959,PGC095608
VFID0347,157.11546,63.145832,2530.9,23.448833,SDSSJ102827.71+630844.8
VFID0348,174.75189,63.142845,3168.3,17.302994,2MASXJ11390044+6308339
VFID0349,245.19673,63.122272,3077.1335,33.374664,
VFID0350,245.21,63.121113,3083.8,26.310024,PGC091528
VFID0351,253.01509,63.11576,3109.6,22.704987,IC1235
VFID0352,142.56523,63.112038,1616.7,19.820803,PGC095606
VFID0353,201.14452,63.092316,2865.9,25.300043,UGC08436
VFID0354,253.17336,63.026363,3012.4,12.975415,PGC3138199
VFID0355,170.36131,63.02449,3232.9,26.492397,UGC06365
VFID0356,202.68774,63.024025,2378.8,10.188758,PGC3138198
VFID0357,169.80121,63.021465,3246.8,22.445086,PGC034629
VFID0358,191.3699,63.008953,2688.6,22.915073,SDSSJ124528.73+630032.1
VFID0359,180.43895,62.96869,2611.4,21.140793,PGC2647063
VFID0360,146.93166,62.86034,2457.7,11.943215,SDSSJ094743.61+625137.2
VFID0361,206.79626,62.83507,1496.3,13.618249,SDSSJ134711.12+625006.2
VFID0362,202.38382,62.82451,2791.9,31.777613,UGC08491
VFID0363,175.17325,62.771065,3121.3,22.548687,PGC2643061
VFID0364,203.04332,62.767742,2860.4,55.09615,NGC5218
VFID0365,207.50423,62.730362,2133.6,27.234615,PGC049092
VFID0366,228.33702,62.729366,2360.8,28.715822,UGC09784
VFID0367,130.74287,62.705547,1319,28.387115,PGC101469
VFID0368,203.02869,62.70072,2923.9,50.830135,NGC5216
VFID0369,206.38115,62.659313,1894.7,17.104929,PGC3138016
VFID0370,243.6255,62.536694,2876.1,41.506992,IC1210
VFID0371,202.51501,62.511536,1760.3,47.546795,NGC5205
VFID0372,181.04947,62.505394,1276.6,52.4954,IC0758
VFID0373,180.68048,62.497864,1044.4,21.984735,PGC038027
VFID0374,142.39407,62.490616,1481,70.00374,NGC2880
VFID0375,169.8578,62.48393,3245.4,12.448622,PGC034649
VFID0376,261.87704,62.45804,3016.5,2.91153,SDSSJ172730.51+622729.0
VFID0377,207.62842,62.446964,1884.5,13.005326,PGC3137923
VFID0378,245.21732,62.433933,3015.6396,0.290445,
VFID0379,256.1066,62.42869,3228.4,100,SDSSJ170425.58+622543.0
VFID0380,262.5694,62.42681,2991.3,9.101673,PGC3137916
VFID0381,180.62146,62.41724,1533.5,38.029556,UGC07019
VFID0382,162.82034,62.41339,1648,9.752619,PGC2636198
VFID0383,182.16884,62.381664,2881.3,23.93984,UGC07128
VFID0384,186.65845,62.37935,709.4,25.711136,UGC07544
VFID0385,148.02232,62.352913,660.91315,47.806168,
VFID0386,190.99973,62.333447,2616.9,23.55707,PGC042849
VFID0387,180.43369,62.325897,1087.8,47.876373,UGC07009
VFID0388,237.85522,62.310036,831.5,174.22932,NGC6015
VFID0389,197.22707,62.306347,2849.6,26.492397,UGC08237
